baseline_path,candidate_path,baseline_run_id,candidate_run_id,metric,num_queries,baseline_mean,candidate_mean,delta,ci_low,ci_high,p_two_sided,confidence,samples,seed
results/artifacts/20260828T041518Z_scifact-bm25-stem.per_query.csv,results/artifacts/20260828T041527Z_scifact-dense-minilm.per_query.csv,20260828T041518Z_scifact-bm25-stem,20260828T041527Z_scifact-dense-minilm,ndcg@10,300,0.684168,0.645082,-0.039086,-0.074779,-0.00432,0.0266,0.95,10000,13
results/artifacts/20260828T041518Z_scifact-bm25-stem.per_query.csv,results/artifacts/20260828T041537Z_scifact-hybrid-stem-minilm.per_query.csv,20260828T041518Z_scifact-bm25-stem,20260828T041537Z_scifact-hybrid-stem-minilm,ndcg@10,300,0.684168,0.71927,0.035102,0.011039,0.059219,0.0038,0.95,10000,13
results/artifacts/20260828T041537Z_scifact-hybrid-stem-minilm.per_query.csv,results/artifacts/20260828T041747Z_scifact-hybrid-stem-minilm-rerank.per_query.csv,20260828T041537Z_scifact-hybrid-stem-minilm,20260828T041747Z_scifact-hybrid-stem-minilm-rerank,ndcg@10,300,0.71927,0.686332,-0.032938,-0.062495,-0.00328,0.0272,0.95,10000,13
results/artifacts/20260828T041518Z_scifact-bm25-stem.per_query.csv,results/artifacts/20260828T041747Z_scifact-hybrid-stem-minilm-rerank.per_query.csv,20260828T041518Z_scifact-bm25-stem,20260828T041747Z_scifact-hybrid-stem-minilm-rerank,ndcg@10,300,0.684168,0.686332,0.002164,-0.028484,0.032418,0.8992,0.95,10000,13
results/artifacts/20260828T041758Z_nfcorpus-bm25-stem.per_query.csv,results/artifacts/20260828T041807Z_nfcorpus-dense-minilm.per_query.csv,20260828T041758Z_nfcorpus-bm25-stem,20260828T041807Z_nfcorpus-dense-minilm,ndcg@10,323,0.326917,0.316673,-0.010243,-0.032694,0.011225,0.347,0.95,10000,13
results/artifacts/20260828T041758Z_nfcorpus-bm25-stem.per_query.csv,results/artifacts/20260828T041824Z_nfcorpus-hybrid-stem-minilm.per_query.csv,20260828T041758Z_nfcorpus-bm25-stem,20260828T041824Z_nfcorpus-hybrid-stem-minilm,ndcg@10,323,0.326917,0.353153,0.026237,0.012983,0.039791,0.0,0.95,10000,13
results/artifacts/20260828T041824Z_nfcorpus-hybrid-stem-minilm.per_query.csv,results/artifacts/20260828T042113Z_nfcorpus-hybrid-stem-minilm-rerank.per_query.csv,20260828T041824Z_nfcorpus-hybrid-stem-minilm,20260828T042113Z_nfcorpus-hybrid-stem-minilm-rerank,ndcg@10,323,0.353153,0.354294,0.001141,-0.011603,0.013788,0.8656,0.95,10000,13
results/artifacts/20260828T041758Z_nfcorpus-bm25-stem.per_query.csv,results/artifacts/20260828T042113Z_nfcorpus-hybrid-stem-minilm-rerank.per_query.csv,20260828T041758Z_nfcorpus-bm25-stem,20260828T042113Z_nfcorpus-hybrid-stem-minilm-rerank,ndcg@10,323,0.326917,0.354294,0.027377,0.013344,0.041852,0.0002,0.95,10000,13
results/artifacts/20260828T042406Z_fiqa-bm25-stem.per_query.csv,results/artifacts/20260828T042550Z_fiqa-dense-minilm.per_query.csv,20260828T042406Z_fiqa-bm25-stem,20260828T042550Z_fiqa-dense-minilm,ndcg@10,648,0.243986,0.368671,0.124685,0.09994,0.149119,0.0,0.95,10000,13
results/artifacts/20260828T042406Z_fiqa-bm25-stem.per_query.csv,results/artifacts/20260828T042635Z_fiqa-hybrid-stem-minilm.per_query.csv,20260828T042406Z_fiqa-bm25-stem,20260828T042635Z_fiqa-hybrid-stem-minilm,ndcg@10,648,0.243986,0.355822,0.111835,0.095695,0.127518,0.0,0.95,10000,13
results/artifacts/20260828T042550Z_fiqa-dense-minilm.per_query.csv,results/artifacts/20260828T042635Z_fiqa-hybrid-stem-minilm.per_query.csv,20260828T042550Z_fiqa-dense-minilm,20260828T042635Z_fiqa-hybrid-stem-minilm,ndcg@10,648,0.368671,0.355822,-0.01285,-0.030611,0.005327,0.1644,0.95,10000,13
