question_stratum,comparison,baseline_run_name,candidate_run_name,baseline_run_id,candidate_run_id,baseline_path,candidate_path,metric,num_queries,baseline_mean,candidate_mean,delta,ci_low,ci_high,p_two_sided,confidence,samples,seed
all_answerable,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,exact_match,264,0.674242,0.632576,-0.041667,-0.083333,0.0,0.0518,0.95,10000,13
all_answerable,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,token_f1,264,0.679293,0.640152,-0.039141,-0.080808,0.001263,0.0596,0.95,10000,13
comparison_query,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,exact_match,104,0.615385,0.538462,-0.076923,-0.144231,-0.009615,0.0356,0.95,10000,13
comparison_query,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,token_f1,104,0.615385,0.544872,-0.070513,-0.141026,-0.0,0.0446,0.95,10000,13
inference_query,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,exact_match,89,0.853933,0.797753,-0.05618,-0.134831,0.011236,0.1602,0.95,10000,13
inference_query,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,token_f1,89,0.868914,0.812734,-0.05618,-0.134831,0.011236,0.1602,0.95,10000,13
temporal_query,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,exact_match,71,0.535211,0.56338,0.028169,-0.042254,0.098592,0.5336,0.95,10000,13
temporal_query,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,token_f1,71,0.535211,0.56338,0.028169,-0.042254,0.098592,0.5336,0.95,10000,13
all_answerable,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,exact_match,264,0.674242,0.75,0.075758,0.034091,0.121212,0.0,0.95,10000,13
all_answerable,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,token_f1,264,0.679293,0.756566,0.077273,0.034091,0.121212,0.0,0.95,10000,13
comparison_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,exact_match,104,0.615385,0.692308,0.076923,0.009615,0.153846,0.0474,0.95,10000,13
comparison_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,token_f1,104,0.615385,0.696154,0.080769,0.009615,0.157692,0.0322,0.95,10000,13
inference_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,exact_match,89,0.853933,0.910112,0.05618,0.0,0.11236,0.0658,0.95,10000,13
inference_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,token_f1,89,0.868914,0.925094,0.05618,0.0,0.11236,0.0658,0.95,10000,13
temporal_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,exact_match,71,0.535211,0.633803,0.098592,0.0,0.197183,0.0574,0.95,10000,13
