question_stratum,comparison,baseline_run_name,candidate_run_name,baseline_run_id,candidate_run_id,baseline_path,candidate_path,metric,num_queries,baseline_mean,candidate_mean,delta,ci_low,ci_high,p_two_sided,confidence,samples,seed,p_holm
all_answerable,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,evidence_recall_at_budget,264,0.449495,0.349432,-0.100063,-0.124369,-0.076389,0.0,0.95,10000,13,0.000000
all_answerable,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,context_sufficiency_at_budget,264,0.181818,0.106061,-0.075758,-0.109848,-0.045455,0.0,0.95,10000,13,0.000000
comparison_query,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,evidence_recall_at_budget,104,0.548077,0.458333,-0.089744,-0.129808,-0.052885,0.0,0.95,10000,13,0.000000
comparison_query,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,context_sufficiency_at_budget,104,0.288462,0.173077,-0.115385,-0.182692,-0.057692,0.0,0.95,10000,13,0.000000
inference_query,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,evidence_recall_at_budget,89,0.357678,0.257491,-0.100187,-0.134831,-0.068352,0.0,0.95,10000,13,0.000000
inference_query,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,context_sufficiency_at_budget,89,0.05618,0.033708,-0.022472,-0.05618,0.0,0.2714,0.95,10000,13,0.271400
temporal_query,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,evidence_recall_at_budget,71,0.420188,0.305164,-0.115023,-0.169014,-0.06338,0.0002,0.95,10000,13,0.000800
temporal_query,k5_to_k3,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1,a4b860a2ee05c65a,516585dfd67cfbef,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_516585dfd67cfbef_r1.jsonl,context_sufficiency_at_budget,71,0.183099,0.098592,-0.084507,-0.15493,-0.028169,0.0028,0.95,10000,13,0.006000
all_answerable,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,evidence_recall_at_budget,264,0.449495,0.589331,0.139836,0.113944,0.166035,0.0,0.95,10000,13,0.000000
all_answerable,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,context_sufficiency_at_budget,264,0.181818,0.299242,0.117424,0.079545,0.159091,0.0,0.95,10000,13,0.000000
comparison_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,evidence_recall_at_budget,104,0.548077,0.644231,0.096154,0.059295,0.137821,0.0,0.95,10000,13,0.000000
comparison_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,context_sufficiency_at_budget,104,0.288462,0.403846,0.115385,0.057692,0.182692,0.0,0.95,10000,13,0.000000
inference_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,evidence_recall_at_budget,89,0.357678,0.506554,0.148876,0.106742,0.19382,0.0,0.95,10000,13,0.000000
inference_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,context_sufficiency_at_budget,89,0.05618,0.134831,0.078652,0.033427,0.134831,0.002,0.95,10000,13,0.006000
temporal_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,evidence_recall_at_budget,71,0.420188,0.612676,0.192488,0.140845,0.246479,0.0,0.95,10000,13,0.000000
temporal_query,k5_to_k10,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1,a4b860a2ee05c65a,ca933dcf4ef4de39,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_ca933dcf4ef4de39_r1.jsonl,context_sufficiency_at_budget,71,0.183099,0.352113,0.169014,0.084507,0.253521,0.0,0.95,10000,13,0.000000
all_answerable,k5_to_k20,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1,a4b860a2ee05c65a,46c879463b5148b0,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1.jsonl,evidence_recall_at_budget,264,0.449495,0.726326,0.276831,0.243056,0.311237,0.0,0.95,10000,13,0.000000
all_answerable,k5_to_k20,multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1,multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1,a4b860a2ee05c65a,46c879463b5148b0,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_a4b860a2ee05c65a_r1.jsonl,results/track_b_generation_artifacts/multihop_retrieved_multihop_bm25_stem_w256_o64_46c879463b5148b0_r1.jsonl,context_sufficiency_at_budget,264,0.181818,0.454545,0.272727,0.219697,0.325758,0.0,0.95,10000,13,0.000000
