run_id,run_name,retriever_type,question_type,num_queries,evidence_recall@5,context_sufficiency@5,evidence_hit@10
20260907T091354Z_multihop_bm25_stem_w256_o64_e65a6217,multihop_bm25_stem_w256_o64,bm25,all_answerable,2255,0.470695,0.183149,0.911308
20260907T091354Z_multihop_bm25_stem_w256_o64_e65a6217,multihop_bm25_stem_w256_o64,bm25,comparison_query,856,0.569509,0.297897,0.941589
20260907T091354Z_multihop_bm25_stem_w256_o64_e65a6217,multihop_bm25_stem_w256_o64,bm25,inference_query,816,0.387357,0.069853,0.903186
20260907T091354Z_multihop_bm25_stem_w256_o64_e65a6217,multihop_bm25_stem_w256_o64,bm25,temporal_query,583,0.442253,0.173242,0.878216
20260907T091638Z_multihop_dense_bge_w256_o64_d2bc7b5a,multihop_dense_bge_w256_o64,dense,all_answerable,2255,0.306208,0.062528,0.761863
20260907T091638Z_multihop_dense_bge_w256_o64_d2bc7b5a,multihop_dense_bge_w256_o64,dense,comparison_query,856,0.358061,0.080607,0.807243
20260907T091638Z_multihop_dense_bge_w256_o64_d2bc7b5a,multihop_dense_bge_w256_o64,dense,inference_query,816,0.221609,0.017157,0.691176
20260907T091638Z_multihop_dense_bge_w256_o64_d2bc7b5a,multihop_dense_bge_w256_o64,dense,temporal_query,583,0.348485,0.099485,0.794168
20260907T191203Z_multihop_dense_bge_rerank20_w256_o64_38b0fba6,multihop_dense_bge_rerank20_w256_o64,rerank,all_answerable,2255,0.434479,0.149446,0.84878
20260907T191203Z_multihop_dense_bge_rerank20_w256_o64_38b0fba6,multihop_dense_bge_rerank20_w256_o64,rerank,comparison_query,856,0.542251,0.257009,0.893692
20260907T191203Z_multihop_dense_bge_rerank20_w256_o64_38b0fba6,multihop_dense_bge_rerank20_w256_o64,rerank,inference_query,816,0.335478,0.046569,0.806373
20260907T191203Z_multihop_dense_bge_rerank20_w256_o64_38b0fba6,multihop_dense_bge_rerank20_w256_o64,rerank,temporal_query,583,0.414808,0.135506,0.842196
20260907T202812Z_multihop_hybrid_bm25_bge_rrf60_w256_o64_501de3fb,multihop_hybrid_bm25_bge_rrf60_w256_o64,hybrid,all_answerable,2255,0.406024,0.125942,0.876718
20260907T202812Z_multihop_hybrid_bm25_bge_rrf60_w256_o64_501de3fb,multihop_hybrid_bm25_bge_rrf60_w256_o64,hybrid,comparison_query,856,0.491238,0.196262,0.918224
20260907T202812Z_multihop_hybrid_bm25_bge_rrf60_w256_o64_501de3fb,multihop_hybrid_bm25_bge_rrf60_w256_o64,hybrid,inference_query,816,0.320159,0.044118,0.86152
20260907T202812Z_multihop_hybrid_bm25_bge_rrf60_w256_o64_501de3fb,multihop_hybrid_bm25_bge_rrf60_w256_o64,hybrid,temporal_query,583,0.401086,0.137221,0.83705
